service_id,date,exception_type
TEL_JANV21-CA01-Mardi-00,20211221,2
TEL_JANV21-CA01-Mardi-00,20211228,2
TEL_JANV21-CA01-Mardi-00,20220208,2
TEL_JANV21-CA01-Mardi-00,20220215,2
TEL_JANV21-CA01-Mardi-00,20220412,2
TEL_JANV21-CA01-Mardi-00,20220419,2
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20211217,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20211214,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220107,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220114,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220121,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220128,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220204,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220225,1
B_SEPT21-A03-Jeu-Ven-20-0000100-B_SEPT21-A03-Lun-Mar-20-0100000-B_SEPT21-A04-Jeu-Ven-00-0000100-B_SEPT21-A04-Lun-Mar-00-0100000,20220304,1
