service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
TEL_JANV21-CA01-Mardi-00,0,1,0,0,0,0,0,20211214,20220621
TEL_JANV21-CD01-Mardi-01,0,1,0,0,0,0,0,20211221,20220419
B_SEPT21-TA07-Dimanche-06,0,0,0,0,0,0,1,20211225,20220626
TEL_JANV21-CD01-Mercredi-01,0,0,1,0,0,0,0,20211222,20220420
B_SEPT21-TAD01-Semaine-07-1111100,1,1,1,1,1,0,0,20211220,20220527
B_SEPT21-B03-Samedi-00,0,0,0,0,0,1,0,20220108,20220625
TEL_JANV21-CD01-Lundi-01,1,0,0,0,0,0,0,20211220,20220411
TEL_JANV21-CA01-Lundi-00,1,0,0,0,0,0,0,20211213,20220620
B_SEPT21-A03-Mercredi-20-0010000,0,0,1,0,0,0,0,20211215,20211215
B_SEPT21-TA01-Semaine-01,1,1,1,1,1,0,0,20211213,20211223
B_SEPT21-TA01-Semaine-00,1,1,1,1,1,0,0,20211224,20220624
B_SEPT21-B03-Samedi-00-0000010,0,0,0,0,0,1,0,20220108,20220625
B_SEPT21-TB06-Samedi-01,0,0,0,0,0,1,0,20211218,20211218
B_SEPT21-TB06-Samedi-00,0,0,0,0,0,1,0,20220108,20220625
TEL_JANV21-CC01-Dimanche-01,0,0,0,0,0,0,1,20211219,20211219
B_SEPT21-TAD01-Samedi-02,0,0,0,0,0,1,0,20211218,20220625
TEL_JANV21-CC01-Dimanche-00,0,0,0,0,0,0,1,20211226,20220626
TEL_JANV21-CB01-Samedi-00,0,0,0,0,0,1,0,20211218,20220625
B_SEPT21-A04-Mercredi-00-0010000,0,0,1,0,0,0,0,20220105,20220622
TEL_JANV21-CC01-Samedi-00,0,0,0,0,0,1,0,20211225,20220101
B_SEPT21-TAD01-Samedi-02-0000010,0,0,0,0,0,1,0,20211218,20220625
TEL_JANV21-CA01-Jeudi-00,0,0,0,1,0,0,0,20211216,20220623
B_SEPT21-C07-Dimanche-04,0,0,0,0,0,0,1,20211219,20220102
B_SEPT21-C08-Dimanche-04,0,0,0,0,0,0,1,20220109,20220626
TEL_JANV21-CD01-Vendredi-01,0,0,0,0,1,0,0,20211224,20220527
TEL_JANV21-CD01-Jeudi-01,0,0,0,1,0,0,0,20211223,20220421
TEL_JANV21-CA01-Vendredi-00,0,0,0,0,1,0,0,20211217,20220624
B_SEPT21-TA07N-Dimanche-01,0,0,0,0,0,0,1,20211219,20211219
B_SEPT21-12Penfld-Dimanche-02,0,0,0,0,0,0,1,20220109,20220109
B_SEPT21-B02-Samedi-00,0,0,0,0,0,1,0,20211218,20211218
B_SEPT21-TAD01-Semaine-06-1101100,1,1,0,1,1,0,0,20211213,20220624
TEL_JANV21-CA01-Mercredi-00,0,0,1,0,0,0,0,20211215,20220622
